gm,Id,SS,tox,Vtgm
1.85E-04,2.83E-04,84.865,0.0101,0.942
1.88E-04,2.88E-04,85.295,0.0101,0.945
1.49E-04,2.20E-04,91.647,0.013,1.014
1.52E-04,2.23E-04,92.194,0.013,1.016
1.83E-04,2.42E-04,90.225,0.0101,1.162
1.85E-04,2.46E-04,90.344,0.0101,1.162
1.47E-04,1.78E-04,97.855,0.013,1.284
1.49E-04,1.81E-04,98.035,0.013,1.283
1.87E-04,2.85E-04,84.863,0.0101,0.944
1.89E-04,2.90E-04,85.295,0.0101,0.947
1.50E-04,2.22E-04,91.644,0.013,1.016
1.53E-04,2.25E-04,92.195,0.013,1.018
1.84E-04,2.43E-04,90.186,0.0101,1.165
1.87E-04,2.48E-04,90.307,0.0101,1.164
1.48E-04,1.79E-04,97.812,0.013,1.286
1.50E-04,1.82E-04,97.976,0.013,1.285
1.88E-04,2.87E-04,84.861,0.0101,0.947
1.91E-04,2.92E-04,85.296,0.0101,0.949
1.51E-04,2.23E-04,91.648,0.013,1.018
1.54E-04,2.26E-04,92.2,0.013,1.02
1.85E-04,2.45E-04,90.147,0.0101,1.167
1.88E-04,2.49E-04,90.272,0.0101,1.167
1.49E-04,1.80E-04,97.769,0.013,1.289
1.51E-04,1.83E-04,97.935,0.013,1.288
1.89E-04,2.89E-04,84.86,0.0101,0.948
1.92E-04,2.94E-04,85.297,0.0101,0.95
1.52E-04,2.24E-04,91.649,0.013,1.02
1.54E-04,2.27E-04,92.204,0.013,1.022
1.86E-04,2.46E-04,90.109,0.0101,1.17
1.89E-04,2.51E-04,90.236,0.0101,1.169
1.50E-04,1.81E-04,97.726,0.013,1.291
1.52E-04,1.84E-04,97.895,0.013,1.29
1.90E-04,2.91E-04,84.859,0.0101,0.95
1.93E-04,2.95E-04,85.299,0.0101,0.952
1.53E-04,2.26E-04,91.651,0.013,1.022
1.55E-04,2.29E-04,92.212,0.013,1.024
1.88E-04,2.48E-04,90.071,0.0101,1.172
1.91E-04,2.52E-04,90.201,0.0101,1.172
1.51E-04,1.82E-04,97.684,0.013,1.294
1.53E-04,1.85E-04,97.856,0.013,1.292
1.91E-04,2.93E-04,84.858,0.0101,0.952
1.94E-04,2.97E-04,85.3,0.0101,0.954
1.54E-04,2.27E-04,91.653,0.013,1.024
1.56E-04,2.30E-04,92.218,0.013,1.026
1.89E-04,2.49E-04,90.034,0.0101,1.174
1.92E-04,2.53E-04,90.169,0.0101,1.174
1.52E-04,1.83E-04,97.642,0.013,1.296
1.54E-04,1.86E-04,97.817,0.013,1.295
1.93E-04,2.94E-04,84.858,0.0101,0.954
1.95E-04,2.99E-04,85.303,0.0101,0.956
1.55E-04,2.28E-04,91.656,0.013,1.025
1.57E-04,2.31E-04,92.222,0.013,1.027
1.90E-04,2.50E-04,89.999,0.0101,1.176
1.93E-04,2.54E-04,90.135,0.0101,1.176
1.53E-04,1.84E-04,97.601,0.013,1.298
1.55E-04,1.86E-04,97.78,0.013,1.297
1.94E-04,2.96E-04,84.858,0.0101,0.956
1.96E-04,3.00E-04,85.305,0.0101,0.958
1.56E-04,2.29E-04,91.66,0.013,1.027
1.58E-04,2.32E-04,92.229,0.013,1.029
1.91E-04,2.52E-04,89.963,0.0101,1.178
1.94E-04,2.56E-04,90.102,0.0101,1.178
1.54E-04,1.84E-04,97.562,0.013,1.3
1.56E-04,1.87E-04,97.742,0.013,1.299
1.95E-04,2.98E-04,84.86,0.0101,0.957
1.97E-04,3.02E-04,85.309,0.0101,0.96
1.57E-04,2.30E-04,91.664,0.013,1.028
1.59E-04,2.33E-04,92.239,0.013,1.03
1.92E-04,2.53E-04,89.927,0.0101,1.181
1.95E-04,2.57E-04,90.069,0.0101,1.18
1.55E-04,1.85E-04,97.522,0.013,1.302
1.57E-04,1.88E-04,97.705,0.013,1.301
